CODE,UNIT_NAME
mL/min/{1.73_m2},
mL/min/m2,
mL/mm,
mL/s,
mL{fetal_RBCs},
mm,mm
mm/h,
mm/min,
mm[H2O],
mm[Hg],
mm2,
mmol,mmol
mmol/(12.h),
mmol/(2.h),
mmol/(24.h),
mmol/(5.h),
mmol/(6.h),
mmol/(8.h),
mmol/{ejaculate},
mmol/{specimen},
mmol/{total_vol},
mmol/d,
mmol/dL,
mmol/g,
mmol/g{creat},
mmol/h,
mmol/h/mg{Hb},
mmol/h/mg{prot},
mmol/kg,mmol/kg
mmol/kg/(8.h),
mmol/kg/d,mmol/kg/day
mmol/kg/h,
mmol/kg/min,
mmol/L,
mmol/L{RBCs},
mmol/m2,
mmol/min,
mmol/mmol,
mmol/mmol{creat},
mmol/mmol{urea},
mmol/mol,
mmol/mol{creat},
mmol/s/L,
mo,
mol,
mol/kg,
mol/kg/s,
mol/L,
mol/m3,
mol/mL,
mol/mol,
mol/s,
mosm,
mosm/kg,
mosm/L,
mPa,
mPa.s,
Ms,
ms,
mU/g,
mU/g{Hb},
mU/g{prot},
mU/L,
mU/mg,
mU/mg{creat},
mU/mL,
mU/mL/min,
mU/mmol{creat},
mU/mmol{RBCs},
mV,
N,
N.cm,
N.s,
ng,ng
ng/(24.h),
ng/(8.h),
ng/10*6,
ng/10*6{RBCs},
ng/d,
ng/dL,
ng/g,
ng/g{creat},
ng/h,
ng/kg,ng/kg
ng/kg/(8.h),
ng/kg/h,
ng/kg/min,ng/kg/min
ng/L,
ng/m2,
ng/mg,
ng/mg/h,
ng/mg{creat},
ng/mg{prot},
ng/min,
ng/mL,
ng/mL/h,
ng/mL{RBCs},
ng/s,
ng/U,
ng{FEU}/mL,
NI,
nkat,
nL,
nm,
nm/s/L,
nmol,
nmol/(24.h),
nmol/d,
nmol/dL,
nmol/dL{GF},
nmol/g,
nmol/g{creat},
nmol/g{dry_wt},
nmol/h/L,
nmol/h/mg{prot},
nmol/L,
nmol/L/mmol{creat},
nmol/L{RBCs},
nmol/m/mg{prot},
nmol/mg,
nmol/mg/h,
nmol/mg{creat},
nmol/mg{prot},
nmol/mg{prot},
nmol/mg{prot}/h,
nmol/min,
nmol/min/10*6{cells},
nmol/min/mg{Hb},
nmol/min/mg{prot},
nmol/min/mL,
nmol/mL,
nmol/mL/h,
nmol/mL/min,
nmol/mmol,
nmol/mmol{creat},
nmol/mmol{creat},
nmol/mol,
nmol/nmol,
nmol/s,
nmol/s/L,
nmol/umol{creat},
nmol{ATP},
nmol{BCE},
nmol{BCE}/L,
ns,
nU/{RBC},
nU/mL,
Ohm,
Ohm.m,
osm,
osm/kg,
osm/L,
OT,
Pa,
pA,
pg,
pg/{cell},
pg/{RBC},
pg/dL,
pg/L,
pg/mg,
pg/mg{creat},
pg/mL,
pg/mm,
pkat,
pL,
pm,
pmol,
pmol/(24.h),
pmol/{RBC},
pmol/d,
pmol/dL,
pmol/g,
pmol/h/mg{prot},
pmol/h/mL,
pmol/L,
pmol/mg{prot},
pmol/min,
pmol/min/mg{prot},
pmol/mL,
pmol/mmol{creat},
pmol/umol,
pmol/umol{creat},
ps,
pT,
s,
S,
s/{control},
Sv,
t,
T,
Torr,
U,Units
U/(10.g){feces},
U/(12.h),
U/(2.h),
U/(24.h),
U/10,
U/10*10,
U/10*10{cells},
U/10*12,
U/10*12{RBCs},
U/10*6,
U/10*9,
U/d,Units/day
U/dL,Units/100 mL
U/g,
U/g{creat},
U/g{Hb},
U/g{protein},
U/h,Units/hr
U/kg{Hb},
U/L,Units/L
U/min,Units/min
U/mL,Units/mL
U/mL{RBCs},
U/mmol{creat},
U/s,
u[IU],
u[IU]/L,
u[IU]/mL,
U{25Cel}/L,
U{37Cel}/L,
ueq,
ueq/L,
ueq/mL,
ug,mcg
ug/(100.g),
ug/(24.h),mcg/day
ug/(8.h),
ug/[sft_i],
ug/{specimen},
ug/d,
ug/dL,
ug/dL{RBCs},
ug/g,
ug/g{creat},
ug/g{dry_tissue},
ug/g{dry_wt},
ug/g{feces},
ug/g{hair},
ug/g{Hb},
ug/g{tissue},
ug/h,mcg/hr
ug/kg,mcg/kg
ug/kg/(8.h),
ug/kg/d,mcg/kg/day
ug/kg/h,mcg/kg/hr
ug/kg/min,mcg/kg/min
ug/L,mcg/L
ug/L/(24.h),
ug/L{RBCs},
ug/m2,mcg/m2
ug/m3,
ug/mg,
ug/mg{creat},
ug/min,
ug/mL,mcg/mL
ug/mL{class},
ug/mL{eqv},
ug/mmol,
ug/mmol{creat},
ug/ng,
ug{FEU}/mL,
ukat,
uL,mcL
uL/(2.h),
uL/h,
um,
um/s,
umol,
umol/(2.h),
umol/(24.h),
umol/(8.h),
umol/d,
umol/dL,
umol/dL{GF},
umol/g,
umol/g{creat},
umol/g{Hb},
umol/h,
umol/kg,
umol/kg{feces},
umol/L,
umol/L/h,
umol/L{RBCs},
umol/mg,
umol/mg{creat},
umol/min,
umol/min/g,
umol/min/g{mucosa},
umol/min/g{prot},
umol/min/L,
umol/mL,
umol/mL/min,
umol/mmol,
umol/mmol{creat},
umol/mol,
umol/mol{creat},
umol/mol{Hb},
umol/umol,
umol/umol{creat},
umol{BCE}/mol,
UN,
uOhm,
us,
uU/g,
uU/L,
uU/mL,
uV,
V,
Wb,
wk,
